key,Deflection,Time
294,1.17,34.05695033073425
295,1.15,34.16724491119385
296,1.15,34.278542041778564
297,1.13,34.39187812805176
298,1.13,34.50314164161682
299,1.11,34.613436222076416
300,1.11,34.72373127937317
301,1.09,34.83903908729553
302,1.09,34.94933366775513
303,1.06,35.060630559921265
304,1.06,35.174935817718506
305,1.03,35.2852303981781
306,1.01,35.396528005599976
307,1.01,35.51083326339722
308,0.98,35.621127128601074
309,0.95,35.73142170906067
310,0.93,35.84673023223877
311,0.91,35.958027362823486
312,0.89,36.06731915473938
313,0.89,36.18262767791748
314,0.87,36.29292130470276
315,0.87,36.40321588516235
316,0.85,36.518524408340454
317,0.83,36.62781572341919
318,0.83,36.739113330841064
319,0.81,36.853418588638306
320,0.81,36.960705280303955
321,0.79,37.07501006126404
322,0.77,37.19031858444214
323,0.77,37.300612926483154
324,0.75,37.41090750694275
325,0.73,37.52521276473999
326,0.73,37.636510133743286
327,0.69,37.74680495262146
328,0.66,37.861109495162964
329,0.63,37.97240710258484
330,0.61,38.082701683044434
331,0.61,38.197006940841675
332,0.58,38.30830430984497
333,0.58,38.418598651885986
334,0.55,38.528892993927
335,0.53,38.644201040267944
336,0.53,38.75449585914612
337,0.5,38.86479043960571
338,0.5,38.980098485946655
339,0.47,39.09039282798767
340,0.45,39.20068717002869
341,0.45,39.31599545478821
342,0.42,39.42528700828552
343,0.39,39.5365846157074
344,0.35,39.6509051322937
345,0.31,39.762186765670776
346,0.26,39.87248134613037
347,0.23,39.98678684234619
348,0.19,40.098084449768066
349,0.14,40.20837903022766
350,0.1,40.3226842880249
351,0.05,40.43398118019104
352,-0.01,40.54026508331299
353,-0.07,40.65457010269165
354,-0.13,40.765867948532104
355,-0.18,40.87616229057312
356,-0.24,40.9904670715332
357,-0.3,41.10176467895508
358,-0.37,41.25918531417847
359,-0.39,41.326364278793335
360,-0.39,41.432647943496704
361,-0.39,41.547956466674805
362,-0.39,41.65825080871582
363,-0.39,41.768545389175415
364,-0.39,41.88385343551636
365,-0.39,41.994147539138794
366,-0.39,42.10444355010986
367,-0.39,42.21975040435791
368,-0.39,42.331047773361206
369,-0.39,42.440340995788574
370,-0.39,42.555649757385254
371,-0.39,42.665945053100586
372,-0.39,42.77624011039734
373,-0.39,42.89064812660217
374,-0.39,43.00585174560547
375,-0.39,43.112136363983154
376,-0.39,43.22654342651367
377,-0.39,43.33773922920227
378,-0.39,43.44803333282471
