Time,Deflection,Force,Angle,Torque
13.0,2.975,37.4,4.858462919034287,51.53546089999999
13.058403070000002,2.96,37.349999999999994,4.834082844347575,51.46656322499999
13.1,2.94,37.3,4.801573349873759,51.39766554999999
13.16969996,2.92,37.3,4.769060756208277,51.39766554999999
13.2,2.9050000000000002,37.3,4.744674289445015,51.39766554999999
13.279994540000002,2.89,37.25,4.720286099568278,51.328767875
13.3,2.875,37.2,4.69589619523374,51.259870199999995
13.3942998,2.86,37.05,4.671504585100779,51.05317717499999
13.4,2.85,36.9,4.65524256829092,50.846484149999995
13.5,2.84,36.2,4.638979799766343,49.8819167
13.505597400000001,2.83,36.0,4.62271628209551,49.606325999999996
13.6,2.81,35.8,4.590187009592514,49.33073529999999
13.61589127,2.79,35.5,4.5576547713439695,48.917349249999994
13.7,2.7800000000000002,35.2,4.541387546493874,48.5039632
13.730196530000002,2.77,34.95,4.525119587923316,48.159474825
13.8,2.76,34.7,4.508850898205746,47.81498645
13.841494370000001,2.75,34.45,4.492581479915314,47.470498074999995
13.9,2.7350000000000003,34.2,4.468175992038228,47.1260097
13.951789190000001,2.72,33.900000000000006,4.443768879358848,46.712623650000005
14.0,2.72,33.6,4.443768879358848,46.2992376
14.066093970000002,2.72,33.35,4.443768879358848,45.95474922499999
14.1,2.71,33.1,4.427496572532453,45.610260849999996
14.17638855,2.7,32.85,4.4112235500144115,45.265772475
14.2,2.6900000000000004,32.6,4.394949814383042,44.921284099999994
14.28868871,2.68,32.35,4.378675368217349,44.576795725
14.3,2.68,32.1,4.378675368217349,44.23230735
14.4,2.68,31.6,4.378675368217349,43.5433306
14.40199142,2.68,31.4,4.378675368217349,43.267739899999995
14.5,2.665,31.2,4.354262372360209,42.99214919999999
14.512290290000001,2.65,31.0,4.329847792314622,42.7165585
14.6,2.65,30.8,4.329847792314622,42.440967799999996
14.622580580000003,2.65,30.6,4.329847792314622,42.16537709999999
14.7,2.6399999999999997,30.4,4.313570529815324,41.88978639999999
14.737888150000002,2.63,30.25,4.297292569686937,41.68309337499999
14.8,2.63,30.1,4.297292569686937,41.47640035
14.84818321,2.63,29.950000000000003,4.297292569686937,41.269707325
